NO.,MAKE,MODEL,YR OF MANUFACTURE,ENGINE SIZE,MILEAGE,COLOUR,PRICE
92,Toyota,Prado,1999,2700,123456,Blue,7250
106,Toyota,Rav 4,2003,2000,181450,Dark Green,4950
108,Toyota,Prado,2003,3000,187311,White,14900
17,Nissan,Xtrail,2004,2200,150300,White,5950
104,Toyota,Allion,2004,1500,191000,Silver,4850
105,Toyota,Premio,2004,1500,193000,White,6900
131,Subaru,Legacy,2004,2000,142000,Silver,6100
83,Toyota,Rav 4,2005,2000,200000,Gold,5300
102,Toyota,Mark X,2005,2500,123456,Black,5650
33,Nissan,Tiida,2006,1500,111000,Silver,4900
73,Toyota,Harrier,2006,2000,115000,Black,12900
97,Toyota,Mark X,2006,2500,155600,White,5650
101,Toyota,Prado,2006,2800,123400,Blue,17500
123,Subaru,Impreza,2006,1500,180000,White,4500
13,Toyota,Harrier,2007,2000,113500,White,12450
14,Nissan,Xtrail,2007,2000,123366,Beige,7800
32,Nissan,Sylphy,2007,1500,23450,Blue,5750
40,Nissan,Xtrail,2007,2200,140000,Beige,7500
42,Nissan,Tiida,2007,1500,123000,Beige,4000
77,Toyota,Rav 4,2007,2500,136000,Black,9900
86,Toyota,Allion,2007,1800,267300,Silver,7100
136,Subaru,Legacy,2007,2000,135420,Silver,6500
139,Subaru,Outback,2007,2500,5768,White,10500
10,Toyota,Vitz,2008,1300,133000,Red,5800
51,Nissan,Xtrail,2008,2200,123000,Black,10000
59,Nissan,Note,2008,1500,152000,Grey,3900
80,Toyota,Vitz,2008,1000,95000,Red,4700
94,Toyota,Crown,2008,3000,123456,White,9800
103,Toyota,Hiace,2008,2500,193000,Silver,14900
107,Toyota,Auris,2008,1300,163534,Grey,6950
141,Subaru,Forester,2008,2000,15900,Grey,12800
162,Subaru,WRX ST1,2008,2500,104000,Black,12500
56,Nissan,Skyline GT,2009,3700,1740,Silver,8500
65,Toyota,Vitz,2009,1300,94000,Green,5500
66,Toyota,Belta,2009,1300,82000,Blue,6800
76,Toyota,Surf,2009,2500,4500,Black,18950
127,Subaru,Legacy,2009,2500,96000,White,11000
61,Toyota,Ractis,2010,1300,112000,White,5700
63,Toyota,Axio,2010,1300,92000,White,7900
95,Toyota,Hiace,2010,2500,113621,White,13500
126,Subaru,Legacy,2010,2500,158,Black,11700
140,Subaru,Impreza,2010,1500,3458,Grey,8500
11,Mazda,Demio,2011,1300,137140,Grey,5850
12,Subaru,Forester,2011,1300,81346,Grey,18900
15,Nissan,Bluebird,2011,1500,35000,Blue,7950
48,Nissan,Murano,2011,2500,106000,Silver,17000
84,Toyota,Mark X,2011,2500,77000,White,11700
100,Toyota,Vitz,2011,1300,99000,Silver,5450
113,Toyota,Mark X,2011,2000,98000,Pearl,11200
163,Subaru,Forester,2011,2000,34567,Silver,16000
2,Toyota,Crown,2012,3000,72000,Black,16700
5,Subaru,Impreza,2012,1500,93000,Blue,11000
7,BMW,X1,2012,1500,78000,Blue,17000
26,Nissan,Advan,2012,1300,92000,Pearl,6300
27,Nissan,Xtrail,2012,2000,112000,Red,15500
28,Nissan,Advan,2012,1300,72000,Pearl,6300
29,Nissan,Clipper,2012,660,88420,White,6000
30,Nissan,Cabstar,2012,3000,200123,White,16000
34,Nissan,Wingroad,2012,1500,95457,Black,7000
36,Nissan,Juke,2012,1500,89756,Red,11500
37,Nissan,March,2012,1200,50000,Silver,5300
41,Nissan,Note,2012,1200,82000,Black,6300
45,Nissan,Note,2012,1200,36000,Grey,5950
46,Nissan,Juke,2012,1500,60000,Brown,11900
47,Nissan,NV350,2012,2500,112000,Silver,15900
52,Nissan,Wingroad,2012,1500,95457,Black,7000
53,Nissan,Juke,2012,1500,68799,Black,13500
54,Nissan,Dualis,2012,2000,65000,Black,16000
57,Nissan,Dualis,2012,2000,72000,White,15600
58,Nissan,Serena,2012,2300,153241,Silver,11700
62,Toyota,Aqua,2012,1500,92000,Black,7900
67,Toyota,Hillux,2012,3000,87000,Black,29000
71,Toyota,Axio,2012,1500,65000,Silver,10900
75,Toyota,Harrier,2012,2300,96000,White,29900
78,Toyota,Prado,2012,2700,51000,Black,45800
81,Toyota,Passo,2012,1500,92000,Black,6200
82,Toyota,Porte,2012,1200,349000,Silver,6100
85,Toyota,Belta,2012,1500,101400,Silver,7450
87,Toyota,Hillux,2012,3000,62377,Grey,29000
88,Toyota,Prado,2012,2700,102000,White,56950
89,Toyota,Aqua,2012,1500,79000,Grey,7800
90,Toyota,Voxy,2012,1800,70000,Black,12000
98,Toyota,Mark X,2012,2500,115000,Blue,12800
99,Toyota,Fielder,2012,1800,123000,Silver,10900
110,Toyota,Auris,2012,1500,78000,Silver,10800
116,Toyota,Rav 4,2012,2400,94000,Silver,20000
117,Toyota,Vanguard,2012,2400,73111,Dark Blue,22000
121,Subaru,Impreza,2012,1500,74100,Blue,11500
122,Subaru,Forester,2012,2000,167000,White,15000
124,Subaru,Forester,2012,2000,83000,White,17500
128,Subaru,Impreza,2012,1600,89000,White,12200
129,Subaru,Forester,2012,2000,47000,Red,17500
